####################################################################
# This file contains stable mappings from MIME types to protobuf   #
# tag numbers and should be edited carefully to maintain backward  #
# compatibility.                                                   #
####################################################################
#
# Categories and wildcards are encoded as their own values.
#
application/mbms-schedule+xml,316
application/mbms-user-service-description+xml,317
application/mbox,318
application/media_control+xml,319
application/media-policy-dataset+xml,320
application/mediaservercontrol+xml,321
application/merge-patch+json,322
application/metalink4+xml,323
application/mets+xml,324
application/MF4,325
application/mikey,326
application/mipc,327
application/mmt-aei+xml,328
application/mmt-usd+xml,329
application/mods+xml,330
application/moss-keys,331
application/moss-signature,332
application/mosskey-data,333
application/mosskey-request,334
application/mp21,335
application/mp4,336
application/mpeg4-generic,337
application/mpeg4-iod,338
application/mpeg4-iod-xmt,339
application/mrb-consumer+xml,340
application/mrb-publish+xml,341
application/msc-ivr+xml,342
application/msc-mixer+xml,343
application/msword,344
application/mud+json,345
application/multipart-core,346
application/mxf,347
application/n-quads,348
application/n-triples,349
application/nasdata,350
application/news-checkgroups,351
application/news-groupinfo,352
application/news-transmission,353
application/nlsml+xml,354
application/node,355
application/nss,356
application/ocsp-request,357
application/ocsp-response,358
application/ODA,359
application/odm+xml,360
application/ODX,361
application/oebps-package+xml,362
application/ogg,363
application/oscore,364
application/oxps,365
application/p2p-overlay+xml,366
application/parityfec,367
application/passport,368
application/patch-ops-error+xml,369
application/pdf,370
application/PDX,371
application/pem-certificate-chain,372
application/pgp-encrypted,373
application/pgp-keys,374
application/pgp-signature,375
application/pidf-diff+xml,376
application/pidf+xml,377
application/pkcs10,378
application/pkcs7-mime,379
application/pkcs7-signature,380
application/pkcs8,381
application/pkcs8-encrypted,382
application/pkcs12,383
application/pkix-attr-cert,384
application/pkix-cert,385
application/pkix-crl,386
application/pkix-pkipath,387
application/pkixcmp,388
application/pls+xml,389
application/poc-settings+xml,390
application/postscript,391
application/ppsp-tracker+json,392
application/problem+json,393
application/problem+xml,394
application/provenance+xml,395
application/prs.alvestrand.titrax-sheet,396
application/prs.cww,397
application/prs.hpub+zip,398
application/prs.nprend,399
application/prs.plucker,400
application/prs.rdf-xml-crypt,401
application/prs.xsf+xml,402
application/pskc+xml,403
application/rdf+xml,404
application/route-apd+xml,405
application/route-s-tsid+xml,406
application/route-usd+xml,407
application/QSIG,408
application/raptorfec,409
application/rdap+json,410
application/reginfo+xml,411
application/relax-ng-compact-syntax,412
application/remote-printing,413
application/reputon+json,414
application/resource-lists-diff+xml,415
application/resource-lists+xml,416
application/rfc+xml,417
application/riscos,418
application/rlmi+xml,419
application/rls-services+xml,420
application/rpki-ghostbusters,421
application/rpki-manifest,422
application/rpki-publication,423
application/rpki-roa,424
application/rpki-updown,425
application/rtf,426
application/rtploopback,427
application/rtx,428
application/samlassertion+xml,429
application/samlmetadata+xml,430
application/sbml+xml,431
application/scaip+xml,432
application/scim+json,433
application/scvp-cv-request,434
application/scvp-cv-response,435
application/scvp-vp-request,436
application/scvp-vp-response,437
application/sdp,438
application/secevent+jwt,439
application/senml-exi,440
application/senml+cbor,441
application/senml+json,442
application/senml+xml,443
application/sensml-exi,444
application/sensml+cbor,445
application/sensml+json,446
application/sensml+xml,447
application/sep-exi,448
application/sep+xml,449
application/session-info,450
application/set-payment,451
application/set-payment-initiation,452
application/set-registration,453
application/set-registration-initiation,454
application/sgml,455
application/sgml-open-catalog,456
application/shf+xml,457
application/sieve,458
application/simple-filter+xml,459
application/simple-message-summary,460
application/simpleSymbolContainer,461
application/sipc,462
application/slate,463
application/smil,464
application/smil+xml,465
application/smpte336m,466
application/soap+fastinfoset,467
application/soap+xml,468
application/sparql-query,469
application/sparql-results+xml,470
application/spirits-event+xml,471
application/sql,472
application/srgs,473
application/srgs+xml,474
application/sru+xml,475
application/ssml+xml,476
application/stix+json,477
application/swid+xml,478
application/tamp-apex-update,479
application/tamp-apex-update-confirm,480
application/tamp-community-update,481
application/tamp-community-update-confirm,482
application/tamp-error,483
application/tamp-sequence-adjust,484
application/tamp-sequence-adjust-confirm,485
application/tamp-status-query,486
application/tamp-status-response,487
application/tamp-update,488
application/tamp-update-confirm,489
application/taxii+json,490
application/tei+xml,491
application/TETRA_ISI,492
application/thraud+xml,493
application/timestamp-query,494
application/timestamp-reply,495
application/timestamped-data,496
application/tlsrpt+gzip,497
application/tlsrpt+json,498
application/tnauthlist,499
application/trickle-ice-sdpfrag,500
application/trig,501
application/ttml+xml,502
application/tve-trigger,503
application/tzif,504
application/tzif-leap,505
application/ulpfec,506
application/urc-grpsheet+xml,507
application/urc-ressheet+xml,508
application/urc-targetdesc+xml,509
application/urc-uisocketdesc+xml,510
application/vcard+json,511
application/vcard+xml,512
application/vemmi,513
application/vnd.1000minds.decision-model+xml,514
application/vnd.3gpp.access-transfer-events+xml,515
application/vnd.3gpp.bsf+xml,516
application/vnd.3gpp.GMOP+xml,517
application/vnd.3gpp.mc-signalling-ear,518
application/vnd.3gpp.mcdata-affiliation-command+xml,519
application/vnd.3gpp.mcdata-info+xml,520
application/vnd.3gpp.mcdata-payload,521
application/vnd.3gpp.mcdata-service-config+xml,522
application/vnd.3gpp.mcdata-signalling,523
application/vnd.3gpp.mcdata-ue-config+xml,524
application/vnd.3gpp.mcdata-user-profile+xml,525
application/vnd.3gpp.mcptt-affiliation-command+xml,526
application/vnd.3gpp.mcptt-floor-request+xml,527
application/vnd.3gpp.mcptt-info+xml,528
application/vnd.3gpp.mcptt-location-info+xml,529
application/vnd.3gpp.mcptt-mbms-usage-info+xml,530
application/vnd.3gpp.mcptt-service-config+xml,531
application/vnd.3gpp.mcptt-signed+xml,532
application/vnd.3gpp.mcptt-ue-config+xml,533
application/vnd.3gpp.mcptt-ue-init-config+xml,534
application/vnd.3gpp.mcptt-user-profile+xml,535
application/vnd.3gpp.mcvideo-affiliation-command+xml,536
application/vnd.3gpp.mcvideo-affiliation-info+xml,537
application/vnd.3gpp.mcvideo-info+xml,538
application/vnd.3gpp.mcvideo-location-info+xml,539
application/vnd.3gpp.mcvideo-mbms-usage-info+xml,540
application/vnd.3gpp.mcvideo-service-config+xml,541
application/vnd.3gpp.mcvideo-transmission-request+xml,542
application/vnd.3gpp.mcvideo-ue-config+xml,543
application/vnd.3gpp.mcvideo-user-profile+xml,544
application/vnd.3gpp.mid-call+xml,545
application/vnd.3gpp.pic-bw-large,546
application/vnd.3gpp.pic-bw-small,547
application/vnd.3gpp.pic-bw-var,548
application/vnd.3gpp-prose-pc3ch+xml,549
application/vnd.3gpp-prose+xml,550
application/vnd.3gpp.sms,551
application/vnd.3gpp.sms+xml,552
application/vnd.3gpp.srvcc-ext+xml,553
application/vnd.3gpp.SRVCC-info+xml,554
application/vnd.3gpp.state-and-event-info+xml,555
application/vnd.3gpp.ussd+xml,556
application/vnd.3gpp-v2x-local-service-information,557
application/vnd.3gpp2.bcmcsinfo+xml,558
application/vnd.3gpp2.sms,559
application/vnd.3gpp2.tcap,560
application/vnd.3lightssoftware.imagescal,561
